"Date","BTC","ETH"
"Jan-06-2023",22789.5292518974,1707.09899165258
"Jan-05-2023",22621.33533088,1681.05531022
"Jan-04-2023",22659.5594180324,1689.72449602458
"Jan-03-2023",22415.756927878,1633.18497886965
"Jan-02-2023",22417.8282140989,1632.56558493818
"Jan-01-2023",22323.2227671083,1615.14003978306
"Dec-31-2022",22230.84724718,1609.66310076
"Dec-30-2022",22318.7633747616,1612.59909876968
"Dec-29-2022",22369.4301867993,1615.92056133135
"Dec-28-2022",22246.4875058212,1600.68833772836
"Dec-27-2022",22456.8231418076,1630.34752382505
"Dec-26-2022",22729.0084798722,1650.21525680105
"Dec-25-2022",22622.7763184422,1639.23640206992
"Dec-24-2022",22628.10431882,1642.44545036
"Dec-23-2022",22556.2992735751,1640.0310192699
"Dec-22-2022",22612.2159351172,1637.91135084614
"Dec-21-2022",22591.1850537497,1630.79288229251
"Dec-20-2022",22720.3972122426,1638.15995308688
"Dec-19-2022",22078.2117419488,1571.44779472443
"Dec-18-2022",22516.3794012531,1597.28053736359
"Dec-17-2022",22563.5964268969,1599.24774176839
"Dec-16-2022",22325.13655944,1567.73817486
"Dec-15-2022",23307.6998072752,1702.98132851585
"Dec-14-2022",23925.6429350872,1761.34437564248
"Dec-13-2022",23881.5284127981,1776.47948599128
"Dec-12-2022",23148.218898108,1713.36439163631
"Dec-11-2022",22974.9542072086,1698.7677369988
"Dec-10-2022",23005.0966161992,1700.56063726908
"Dec-09-2022",23017.2564394352,1696.65130778138
"Dec-08-2022",23193.9580725515,1722.92790133268
"Dec-07-2022",22633.7034134237,1657.46337661108
"Dec-06-2022",22970.1951756072,1710.8778021924
"Dec-05-2022",22796.7395369909,1692.52601670911
"Dec-04-2022",23026.368235897,1721.88991710176
"Dec-03-2022",22721.9852971522,1670.00451484732
"Dec-02-2022",22970.2629013,1739.0231287
"Dec-01-2022",22792.50965706,1713.7279731
"Nov-30-2022",23104.9627363278,1742.44131313778
"Nov-29-2022",22093.52982408,1636.16911172
"Nov-28-2022",21792.7124462582,1572.02079749224
"Nov-27-2022",22088.384515636,1604.77076986776
"Nov-26-2022",22127.1376716985,1622.15709087746
"Nov-25-2022",22195.3111394311,1611.92222671183
"Nov-24-2022",22310.67041346,1618.4934194
"Nov-23-2022",22334.19109064,1593.1451679
"Nov-22-2022",21742.37773708,1525.8175504
"Nov-21-2022",21211.4379614922,1489.89873810423
"Nov-20-2022",21898.96399834,1537.8219285
"Nov-19-2022",22469.4302370985,1638.44847095833
"Nov-18-2022",22463.1167869298,1630.9303678787
"Nov-17-2022",22435.8937026483,1613.2603877423
"Nov-16-2022",22412.5290656774,1636.30392481394
"Nov-15-2022",22710.1602013,1684.00851762
"Nov-14-2022",22354.9028796488,1670.29309851459
"Nov-13-2022",21977.6667699972,1645.0278972594
"Nov-12-2022",22585.50957806,1690.96340842
"Nov-11-2022",22991.46348928,1739.53231166
"Nov-10-2022",23645.0354044317,1748.3400466048
"Nov-09-2022",21224.0340849941,1472.39399807083
"Nov-08-2022",24906.0378301039,1791.50421336879
"Nov-07-2022",27679.42483878,2108.00038306
"Nov-06-2022",28111.32705238,2115.4488641
"Nov-05-2022",28606.70669142,2185.87661006
"Nov-04-2022",28438.0000476,2210.71137716
"Nov-03-2022",27164.3954242258,2057.52415420907
"Nov-02-2022",27087.6773194657,2042.43590285359
"Nov-01-2022",27531.30609658,2122.47822358
"Oct-31-2022",27562.0954388429,2115.2709651131
"Oct-30-2022",27719.75352718,2136.33880746
"Oct-29-2022",27975.4747609912,2178.29210124146
"Oct-28-2022",27701.62026918,2091.8480726
"Oct-27-2022",27265.7255789958,2036.04668108699
"Oct-26-2022",27897.5590241718,2104.33790052534
"Oct-25-2022",27033.0389296156,1967.12979027985
"Oct-24-2022",25990.63621154,1806.19777624
"Oct-23-2022",26277.39601058,1830.52053756
"Oct-22-2022",25812.4749577395,1764.95903932446
"Oct-21-2022",25763.37890412,1746.82715064
"Oct-20-2022",25597.50771578,1724.18974728
"Oct-19-2022",25707.81048264,1726.7821714
"Oct-18-2022",26011.70789074,1763.4983223
"Oct-17-2022",26290.01374714,1791.01987636
"Oct-16-2022",25888.7820725967,1755.17617673288
